"KR", "FTA South Korea"
"AF", "GSP"
"AL", "Pan-Euro-Mediterranean Convention"
"DZ", "FTA Euromed"
"CL", "FTA Chile - Mexico"
"GE", "FTA Deep and Comprehensive Trade Agreement"
"JP", "FTA Japan"
"SG", "FTA Singapore"
"JM", "EPA Cariforum"
"NI", "FTA Central America"
"CO", "FTA Colombia, Ecuador and Peru"
"FJ", "EPA Pacific"
"SZ", "EPA South African Development Community (SADC)"
"CH", "FTA European Economic Area (EEA)"
"AQ", "Overseas Countries and Territories"
"AM", "GSP Plus"
"CM", "EPA MAR (Market Access Regulation)"
"CA", "FTA Canada"
